,id,image_url,Background,Fur,Clothes,Mouth,Eyes,Hat
4,4,https://ipfs.io/ipfs/QmSg9bPzW9anFYc3wWU5KnvymwkxQTpmqcRSfYj7UmiBa7,Blue,Golden Brown,Navy Striped Tee,Phoneme L,Closed,Party Hat 2
6,6,https://ipfs.io/ipfs/QmWBgfBhyVmHNhBfEQ7p1P4Mpn7pm5b8KgSab2caELnTuV,Yellow,Cream,Tweed Suit,Bored,Crazy,S&m Hat
7,7,https://ipfs.io/ipfs/QmRsJLrg27GQ1ZWyrXZFuJFdU5bapfzsyBfm3CAX1V1bw6,Gray,Golden Brown,Wool Turtleneck,Bored,Angry,Stuntman Helmet
10,10,https://ipfs.io/ipfs/QmPQdVU1riwzijhCs1Lk6CHmDo4LpmwPPLuDauY3i8gSzL,Aquamarine,Dmt,Navy Striped Tee,Bored,Eyepatch,Bayc Hat Red
11,11,https://ipfs.io/ipfs/QmVvdAbabZ2awja88uUhYHFuq67iEiroFuwLGM6HyiWcc8,Gray,Dark Brown,Smoking Jacket,Bored Unshaven Cigarette,Bloodshot,Laurel Wreath
13,13,https://ipfs.io/ipfs/QmaZLhanFj41yfXY3Ux1JNv6ZAnzsWXfbJmo7qbJzZjh4s,Yellow,Black,Bone Tee,Bored,Coins,Police Motorcycle Helmet
15,15,https://ipfs.io/ipfs/QmeGWaFNJyVpkr1LmkKye7qfUGwK9jTRW2sMxKnMDrJKtr,Gray,Gray,Black T,Phoneme L,Zombie,Girl's Hair Pink
20,20,https://ipfs.io/ipfs/QmXkLGoGKXswr4YwkgPVfL7wmbvkRKabmh7WXmkACrgi68,Blue,Gray,Bandolier,Phoneme Vuh,3d,Beanie
24,24,https://ipfs.io/ipfs/QmczjnjjYDfydfKQmAiUAu17cZ8rTCjrPe47Zdu7tEppGd,Aquamarine,Black,Bayc T Black,Dumbfounded,Hypnotized,Fez
26,26,https://ipfs.io/ipfs/QmXzHn4rnSBdjMpwB3Psty49BbNon6AixUm5DhifxjPRv3,Aquamarine,Dark Brown,Stunt Jacket,Bored Cigarette,3d,Stuntman Helmet
27,27,https://ipfs.io/ipfs/QmfNyXX3x7HYBpbJseB3pDFvV1W456tYjXxqdsba7WrEuU,Orange,Gray,Sleeveless T,Bored,Bored,Army Hat
32,32,https://ipfs.io/ipfs/QmZ3cTwARkfhztr43cXYWXjftJZFinkdzUFzgMH9eSXAmg,Purple,Dark Brown,Hip Hop,Bored,Sunglasses,Halo
33,33,https://ipfs.io/ipfs/QmQ1isiNhEbf8cB1DR4dpVvV7KYLfRk4dujtdK3Xhyn6RE,Purple,Red,Vietnam Jacket,Small Grin,Closed,Girl's Hair Pink
34,34,https://ipfs.io/ipfs/QmW1MBApm4XvwgoSKf45ZtsqJU5cDYdcsW2GBSEUqXWE3T,Orange,Black,Sleeveless T,Bored,Sleepy,Bayc Hat Red
39,39,https://ipfs.io/ipfs/QmeiURZgvKcjw9JLir9i94jAocrjdhFbZ2t9Zp6tR9c8iN,Aquamarine,Gray,Leather Jacket,Dumbfounded,Bloodshot,Fez
41,41,https://ipfs.io/ipfs/QmUfd5VdbUQ4XRNijC9oeSerKMoKpQ1aDq9GkT14HoTaNf,Purple,Dark Brown,Navy Striped Tee,Phoneme  ooo,Sad,Sea Captain's Hat
42,42,https://ipfs.io/ipfs/QmdVqrjbXLnxNy9ifPAq1pnD4vhgtkfFzhX2ixyxUM7Dqf,Yellow,Dark Brown,Biker Vest,Bored Pizza,Coins,Baby's Bonnet
46,46,https://ipfs.io/ipfs/QmRQWrE18iega4Ka89W6MorKYDaSR9WPLH1iL6ngERWwjP,Gray,Gray,Bone Necklace,Bored,Heart,Fez
51,51,https://ipfs.io/ipfs/QmdkPp2nSbAWc2NRgjDG6iPKLzuk77Z4CMrpFdyQ9PRfVW,Orange,Dark Brown,Lumberjack Shirt,Bored Unshaven,Cyborg,Girl's Hair Short
56,56,https://ipfs.io/ipfs/QmW3xKzepserVewHFFfCY2ifogiiEzDPvtPEsPmVC97x5M,Yellow,Brown,Guayabera,Dumbfounded,Crazy,Commie Hat
58,58,https://ipfs.io/ipfs/QmPmwb54NBPhqKTG1t2m5JtdeP3Hz2eQ9rhtGMFQEeabKm,Yellow,Zombie,Navy Striped Tee,Discomfort,Angry,Commie Hat
63,63,https://ipfs.io/ipfs/QmYEe7N3TgnZ9ecnrU1943mT53T9XK1UetvsrqKigVgdSg,Blue,Zombie,Sailor Shirt,Grin,Sunglasses,Bunny Ears
68,68,https://ipfs.io/ipfs/QmabwwMDTAvKNvcapqWgnRDkMqXuMSkpK5Q8oopMhT7wAU,Orange,Blue,Black T,Bored Unshaven Cigarette,Bloodshot,Ww2 Pilot Helm
71,71,https://ipfs.io/ipfs/QmYLstZ5zcgetq3k4obkDxrQjY4cVioGRczqM6beBgy8Jz,Orange,Cheetah,Stunt Jacket,Bored,Bloodshot,Bowler
74,74,https://ipfs.io/ipfs/QmeAJGV4hooPmzGTRMWhihQzFDzJvd4oYrniuwKbooKhUq,Purple,Death Bot,Guayabera,Phoneme Vuh,Angry,Bowler
75,75,https://ipfs.io/ipfs/QmR2bEUBuBsGhsgY5kKwkJgGH9bRg8sNs3u4M1bMMhCj7j,Orange,Golden Brown,Bayc T Red,Discomfort,Closed,S&m Hat
77,77,https://ipfs.io/ipfs/QmdDjf8RbTJq464F9f8H3cB5zQCyBQ1quFCHmASxm4paQj,Yellow,Red,Wool Turtleneck,Dumbfounded,Coins,Beanie
78,78,https://ipfs.io/ipfs/QmeoFNDrHxv2wEtGJqPkbkzdS4qvRwKRB5JCm3q3bVAyZ6,Yellow,Black,Lab Coat,Grin,3d,Fez
83,83,https://ipfs.io/ipfs/QmcvkJNv8HHKsWzZuCop5zW85spypx28PHwiQVnMPiHcHy,Blue,Cream,Tweed Suit,Bored Unshaven,Coins,Ww2 Pilot Helm
85,85,https://ipfs.io/ipfs/QmW1m1otzGXwdaRTcNAHSsLhEMnZKShpGkZ4Vyo5f5BYpw,Blue,Tan,Admirals Coat,Grin,Bloodshot,Bowler
87,87,https://ipfs.io/ipfs/QmcLtC8ZEX5HvB6nCEPqFHCta9fQjpcqj5c7QRo41E9Xwb,Aquamarine,Cheetah,Guayabera,Bored Unshaven,Sunglasses,Bunny Ears
93,93,https://ipfs.io/ipfs/QmTMpKHEtHajtFLPzzRVbR4v4LkH2GS75b9xdtdrict6bt,Purple,White,Hip Hop,Bored Unshaven Cigarette,Bored,Fez
94,94,https://ipfs.io/ipfs/QmaqC65aSD9Hffp4EGMnB1JiPBeCERBVUewNFMMVKYgc2A,Aquamarine,Zombie,Black Holes T,Bored Unshaven Kazoo,Closed,Beanie
95,95,https://ipfs.io/ipfs/QmZQ1BZen5ePpUR4zrfLgxdUVuZrXmyMsgP4eb83gtAJXu,Yellow,Tan,Lumberjack Shirt,Bored,Scumbag,S&m Hat
96,96,https://ipfs.io/ipfs/QmPdCQNhZoJiAQxNzSuTpNWTvFPL6WWBUc1cZH5Vs7K34w,Yellow,Robot,Stunt Jacket,Bored Unshaven Cigarette,Sleepy,Girl's Hair Short
